# Monthly precipitation and air temperature
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/448
# The newest version of the data https://lter.kbs.msu.edu/datatables/448.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/5.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# year		the year of the observation
# month		the month number. 1 = January, 2 = February, etc.
# precipitation	millimeter	total precipitation 
# air_temp_mean	celsius	the mean air temperature
# air_temp_max	celsius	the maximum air temperature during the month
# air_temp_min	celsius	the minimum air temperature during the month
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#
#
year,month,precipitation,air_temp_mean,air_temp_max,air_temp_min
2002,8,134.1755,21.21,32.55,10.02
2002,7,111.2393,23.86,33.68,9.84
2002,6,32.7279,20.03,33.67,8.87
2002,5,98.13290000000002,11.98,27.70,-1.97
2002,4,55.3212,8.96,30.09,-5.10
2002,3,53.8099,0.29,15.65,-17.56
2002,2,38.4429,-0.30,14.60,-12.71
2002,1,24.739600000000003,-0.30,13.79,-17.65
2001,12,40.3352,1.66,21.90,-11.39
2001,11,69.59599999999999,8.63,21.11,-3.90
2001,10,170.53559999999996,10.11,26.23,-2.28
2001,9,114.0333,14.69,29.86,3.34
2001,8,137.27429999999998,21.45,33.77,9.63
2001,7,34.277300000000004,21.09,33.03,3.49
2001,6,94.42450000000001,18.95,31.92,6.51
2001,5,154.9569,15.15,29.37,0.76
2001,4,82.76589999999999,10.28,26.73,-4.13
2001,3,17.3609,0.50,13.06,-15.30
2001,2,97.45560000000002,-3.02,12.90,-16.10
2001,1,19.2786,-3.79,6.16,-21.18
2000,12,35.814,-8.03,3.29,-25.16
2000,11,104.42999999999999,2.87,19.62,-10.11
2000,10,52.387499999999996,11.96,25.19,-2.14
2000,9,108.9025,15.73,32.11,1.20
2000,8,125.73,20.01,29.75,7.91
2000,7,78.74,19.79,30.52,6.70
2000,6,67.62750000000001,19.18,31.43,6.33
2000,5,192.08750000000003,15.46,28.47,3.40
2000,4,90.805,7.83,22.55,-4.81
2000,3,37.465,5.52,24.63,-7.41
2000,2,23.431500000000003,0.12,19.05,-16.57
2000,1,20.0025,-4.72,14.53,-20.67
1999,12,62.5475,-1.23,14.59,-18.44
1999,11,28.8925,6.28,22.34,-4.87
1999,10,17.78,9.91,24.84,-3.24
1999,9,45.402499999999996,17.09,33.52,0.05
1999,8,32,19.43,38.57,7.72
1999,7,64.77,23.75,36.70,9.17
1999,6,68.199,20.68,33.49,5.49
1999,5,50.8508,16.15,30.77,3.49
1999,4,131.35610000000003,9.21,25.14,-2.52
1999,3,12.3825,0.45,21.97,-17.12
1999,2,31.749999999999996,-0.39,20.93,-14.24
1999,1,61.950600000000016,-5.83,13.84,-24.93
1998,12,25.3873,0.95,18.36,-14.42
1998,11,44.767500000000005,5.30,18.95,-5.03
1998,10,67.4243,11.31,26.49,-1.27
1998,9,43.815,18.48,32.08,1.70
1998,8,40.005,21.50,32.93,9.06
1998,7,103.505,21.24,31.77,10.49
1998,6,58.72480000000001,19.32,35.32,2.04
1998,5,29.400499999999997,17.89,31.36,6.57
1998,4,100.33,9.10,21.34,-2.51
1998,3,86.36,2.49,24.52,-15.71
1998,2,45.085,1.18,13.55,-9.68
1998,1,77.78750000000001,-1.09,12.79,-17.50
1997,12,21.5138,-1.01,7.87,-11.43
1997,11,33.655,2.01,14.16,-8.60
1997,10,52.050999999999995,9.89,27.95,-2.88
1997,9,143.26199999999997,15.79,27.50,2.22
1997,8,80.65699999999998,18.48,29.39,6.30
1997,7,29.324999999999996,21.05,34.24,7.68
1997,6,103.85099999999998,19.72,31.64,6.44
1997,5,97.76799999999999,10.16,24.48,-0.65
1997,4,34.67399999999999,6.60,24.27,-8.63
1997,3,60.285999999999994,1.52,21.80,-14.79
1997,2,87.53,-2.25,11.78,-16.86
1997,1,31.171000000000003,-6.07,17.47,-22.88
1996,12,54.94999999999999,-2.02,10.30,-15.50
1996,11,51.46,0.36,18.30,-9.80
1996,10,92.67000000000002,10.02,24.40,-4.10
1996,9,73.27000000000001,16.23,29.80,2.60
1996,8,53.33,21.15,33.70,10.50
1996,7,21.48,19.61,30.00,6.40
1996,6,130.41,19.83,32.30,9.30
1996,5,70.32,13.04,31.30,-2.90
1996,4,81.96,5.88,24.60,-7.70
1996,3,11.41,-1.78,16.70,-19.20
1996,2,32.13,-4.36,15.80,-29.00
1996,1,20.26,-5.94,15.50,-21.10
1995,12,13.74,-4.39,10.90,-17.10
1995,11,90.82,-0.06,17.30,-10.40
1995,10,58.90999999999998,10.85,26.90,-1.90
1995,9,48.43,14.75,29.30,0.40
1995,8,110.36999999999999,23.12,32.70,11.90
1995,7,118.71,22.09,35.00,6.90
1995,6,92.21000000000001,20.13,34.70,5.60
1995,5,72.65999999999998,13.64,27.00,0.90
1995,4,76.83,5.75,24.40,-10.70
1995,3,35.629999999999995,2.70,23.10,-16.30
1995,2,13.05,-5.07,7.00,-20.00
1995,1,31.2,-3.46,12.90,-18.50
1994,12,40.52,0.33,11.50,-14.10
1994,11,106.67,5.89,17.90,-6.10
1994,10,73.35000000000001,10.90,25.80,-1.30
1994,9,29.569999999999997,16.59,30.10,3.00
1994,8,165.67999999999998,18.45,29.90,5.70
1994,7,160.22,20.87,31.40,10.60
1994,6,174.44,20.14,35.10,2.20
1994,5,13.1,13.67,30.20,-1.10
1994,4,83.36999999999999,8.96,29.10,-5.00
1994,3,38.18,1.05,20.60,-12.50
1994,2,8.63,-6.73,14.90,-25.20
1994,1,24.67,-9.52,6.50,-29.30
1993,12,13.270000000000003,-2.54,9.60,-21.10
1993,11,19.089999999999996,2.75,16.70,-7.90
1993,10,90.81,8.76,25.90,-4.60
1993,9,125.53000000000002,13.32,27.00,-1.90
1993,8,81.28,20.81,31.60,6.30
1993,7,64.03999999999999,21.63,31.80,9.80
1993,6,156.72999999999996,18.13,29.70,2.70
1993,5,27.700000000000003,14.37,29.90,1.00
1993,4,115.96999999999998,6.96,21.30,-4.90
1993,3,43.53999999999999,-0.44,16.90,-17.50
1993,2,6.98,-5.65,7.60,-24.50
1993,1,61.94,-3.64,11.90,-20.50
1992,12,67.05,-1.42,13.70,-12.20
1992,11,114.56,2.38,14.80,-6.60
1992,10,54.09,8.87,25.90,-2.50
1992,9,140.19,15.53,29.20,0.10
1992,8,75.92999999999999,18.17,31.40,7.00
1992,7,151.89999999999998,19.35,34.40,8.60
1992,6,43.43000000000001,17.68,34.90,2.70
1992,5,31.240000000000006,14.18,30.00,-1.40
1992,4,73.66,6.70,25.50,-6.50
1992,3,46.72,1.95,20.40,-11.80
1992,2,22.85,-0.90,13.30,-15.40
1992,1,20.82,-3.55,9.80,-19.40
1991,12,64.50999999999999,-2.26,13.90,-13.50
1991,11,95.76000000000002,1.75,18.90,-9.60
1991,10,172.46000000000004,11.02,23.60,-4.20
1991,9,54.60999999999999,15.37,31.80,-1.60
1991,8,123.95000000000002,21.24,33.80,10.50
1991,7,135.89,21.98,32.80,9.10
1991,6,48.77,21.63,33.10,8.60
1991,5,92.72,18.06,31.60,1.20
1991,4,76.2,10.26,26.90,-5.50
1991,3,95.5,3.49,21.80,-9.30
1991,2,2.53,-1.21,13.00,-14.10
1991,1,14.47,-5.18,8.40,-17.20
1990,12,59.169999999999995,-1.10,11.80,-17.80
1990,11,168.65000000000003,5.81,23.10,-4.70
1990,10,161.3,9.69,28.50,-4.40
1990,9,72.63,16.82,33.50,2.40
1990,8,86.36,20.20,32.50,7.40
1990,7,84.84000000000002,20.92,34.30,9.80
1990,6,28.690000000000005,19.75,32.70,3.20
1990,5,123.95999999999998,12.74,25.10,0.30
1990,4,66.8,8.89,29.70,-6.20
1990,3,64.00999999999999,3.23,24.70,-14.20
1990,2,45.45,-1.63,13.40,-17.70
1990,1,56.88,-0.03,10.00,-7.20
1989,12,8.38,-8.04,7.40,-26.90
1989,11,173.84999999999997,2.65,21.60,-9.90
1989,10,26.150000000000002,10.99,28.00,-4.40
1989,9,142.99,15.61,30.30,-1.90
1989,8,114.56,20.38,31.30,5.90
1989,7,99.56000000000002,22.14,32.50,10.00
1989,6,121.93,19.26,33.20,6.30
1989,5,189.27999999999994,13.24,27.60,-3.70
1989,4,51.82,6.81,27.60,-9.10
1989,3,67.05000000000001,0.64,27.10,-16.10
1989,2,17.269999999999996,-6.83,9.40,-24.20
1989,1,35.92000000000001,-1.81,14.50,-17.90
1988,12,35.8,-2.98,13.00,-19.20
1988,11,117.86,4.54,17.50,-2.80
1988,10,126.99000000000001,6.57,22.80,-6.80
1988,9,163.55999999999997,16.70,28.10,4.50
1988,8,122.41,23.20,37.20,8.50
1988,7,106.43,23.96,38.60,7.80
1988,6,21.34,21.20,36.30,5.30
1988,5,31.890000000000004,16.66,32.10,1.90
1988,4,93.84,8.64,27.20,-2.70
1988,3,60.08,2.04,20.20,-11.00
1988,2,31.23,-5.41,8.60,-18.10
1988,1,53.84,-5.24,11.10,-24.00
